# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
67            	1.585375e-01	4.174238e-01	6.400264e-02	1.905388e-01	-1.265362e-01
68            	1.585137e-01	4.175250e-01	6.374523e-02	1.903863e-01	-1.266411e-01
69            	1.585147e-01	4.176312e-01	6.362877e-02	1.903291e-01	-1.267003e-01
70            	1.584384e-01	4.175802e-01	6.357220e-02	1.902245e-01	-1.266523e-01
71            	1.583765e-01	4.174644e-01	6.366993e-02	1.902114e-01	-1.265415e-01
72            	1.582423e-01	4.172054e-01	6.374491e-02	1.901148e-01	-1.263699e-01
73            	1.581545e-01	4.169760e-01	6.385151e-02	1.900803e-01	-1.262288e-01
74            	1.580157e-01	4.166864e-01	6.383465e-02	1.899331e-01	-1.260984e-01
75            	1.579478e-01	4.164870e-01	6.382006e-02	1.898578e-01	-1.260377e-01
76            	1.578572e-01	4.162949e-01	6.373419e-02	1.897242e-01	-1.259901e-01
77            	1.578441e-01	4.162357e-01	6.362076e-02	1.896545e-01	-1.260337e-01
78            	1.578301e-01	4.162089e-01	6.350719e-02	1.895837e-01	-1.260765e-01
79            	1.578662e-01	4.162902e-01	6.340108e-02	1.895667e-01	-1.261657e-01
80            	1.578392e-01	4.163185e-01	6.326971e-02	1.894741e-01	-1.262044e-01
81            	1.578411e-01	4.163725e-01	6.314071e-02	1.894115e-01	-1.262708e-01
82            	1.576907e-01	4.162461e-01	6.289540e-02	1.891384e-01	-1.262430e-01
83            	1.575418e-01	4.160057e-01	6.274988e-02	1.889167e-01	-1.261668e-01
84            	1.572882e-01	4.155927e-01	6.256254e-02	1.885694e-01	-1.260069e-01
85            	1.570376e-01	4.150952e-01	6.251858e-02	1.882969e-01	-1.257783e-01
86            	1.567551e-01	4.145229e-01	6.252504e-02	1.880176e-01	-1.254926e-01
87            	1.565833e-01	4.140620e-01	6.266180e-02	1.879142e-01	-1.252524e-01
88            	1.564399e-01	4.136654e-01	6.282494e-02	1.878524e-01	-1.250274e-01
89            	1.564188e-01	4.134846e-01	6.296029e-02	1.878990e-01	-1.249387e-01
90            	1.564091e-01	4.133663e-01	6.303695e-02	1.879276e-01	-1.248906e-01
91            	1.564696e-01	4.133643e-01	6.307301e-02	1.880061e-01	-1.249331e-01
92            	1.565091e-01	4.133702e-01	6.304559e-02	1.880319e-01	-1.249863e-01
93            	1.565245e-01	4.133747e-01	6.294164e-02	1.879954e-01	-1.250537e-01
94            	1.564649e-01	4.133606e-01	6.281251e-02	1.878711e-01	-1.250586e-01
95            	1.563780e-01	4.133948e-01	6.268153e-02	1.877188e-01	-1.250373e-01
96            	1.562166e-01	4.134035e-01	6.263583e-02	1.875345e-01	-1.248987e-01
97            	1.560664e-01	4.134712e-01	6.263457e-02	1.873837e-01	-1.247491e-01
98            	1.559033e-01	4.135648e-01	6.269138e-02	1.872490e-01	-1.245576e-01
99            	1.557813e-01	4.137061e-01	6.277188e-02	1.871673e-01	-1.243954e-01
100           	1.556683e-01	4.138645e-01	6.287244e-02	1.871045e-01	-1.242321e-01
101           	1.555840e-01	4.140469e-01	6.298592e-02	1.870770e-01	-1.240911e-01
102           	1.555282e-01	4.142134e-01	6.313601e-02	1.870962e-01	-1.239602e-01
103           	1.555070e-01	4.143885e-01	6.330449e-02	1.871593e-01	-1.238548e-01
104           	1.555171e-01	4.145672e-01	6.347388e-02	1.872540e-01	-1.237802e-01
105           	1.555928e-01	4.147884e-01	6.361916e-02	1.874024e-01	-1.237832e-01
106           	1.556946e-01	4.150275e-01	6.374317e-02	1.875662e-01	-1.238230e-01
107           	1.558473e-01	4.153044e-01	6.382992e-02	1.877623e-01	-1.239324e-01
108           	1.559892e-01	4.155650e-01	6.388779e-02	1.879331e-01	-1.240453e-01
109           	1.561600e-01	4.158474e-01	6.393630e-02	1.881282e-01	-1.241919e-01
110           	1.562835e-01	4.161109e-01	6.390793e-02	1.882375e-01	-1.243295e-01
111           	1.563856e-01	4.163079e-01	6.388010e-02	1.883257e-01	-1.244456e-01
