# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
67            	6.706674e+00	2.262859e+00	-2.675692e-01	6.572889e+00	-6.840458e+00
68            	6.704923e+00	2.261147e+00	-2.707545e-01	6.569546e+00	-6.840300e+00
69            	6.704613e+00	2.259664e+00	-2.745056e-01	6.567360e+00	-6.841866e+00
70            	6.705755e+00	2.258415e+00	-2.788414e-01	6.566334e+00	-6.845175e+00
71            	6.708101e+00	2.257516e+00	-2.832171e-01	6.566492e+00	-6.849709e+00
72            	6.710838e+00	2.257183e+00	-2.861836e-01	6.567746e+00	-6.853930e+00
73            	6.714331e+00	2.257229e+00	-2.885574e-01	6.570052e+00	-6.858609e+00
74            	6.717604e+00	2.257635e+00	-2.893960e-01	6.572906e+00	-6.862302e+00
75            	6.720322e+00	2.258322e+00	-2.886400e-01	6.576002e+00	-6.864642e+00
76            	6.722196e+00	2.259138e+00	-2.863884e-01	6.579002e+00	-6.865390e+00
77            	6.723237e+00	2.260026e+00	-2.826221e-01	6.581926e+00	-6.864548e+00
78            	6.724630e+00	2.261233e+00	-2.782232e-01	6.585518e+00	-6.863741e+00
79            	6.725516e+00	2.262496e+00	-2.729995e-01	6.589016e+00	-6.862016e+00
80            	6.725867e+00	2.263796e+00	-2.669631e-01	6.592386e+00	-6.859349e+00
81            	6.724412e+00	2.264864e+00	-2.596331e-01	6.594596e+00	-6.854229e+00
82            	6.722219e+00	2.265999e+00	-2.512238e-01	6.596607e+00	-6.847831e+00
83            	6.719082e+00	2.267126e+00	-2.417893e-01	6.598187e+00	-6.839976e+00
84            	6.714679e+00	2.268123e+00	-2.313437e-01	6.599008e+00	-6.830351e+00
85            	6.708935e+00	2.268951e+00	-2.199651e-01	6.598952e+00	-6.818917e+00
86            	6.701591e+00	2.269489e+00	-2.077525e-01	6.597714e+00	-6.805467e+00
87            	6.692908e+00	2.269787e+00	-1.948483e-01	6.595484e+00	-6.790333e+00
88            	6.682935e+00	2.269816e+00	-1.813820e-01	6.592244e+00	-6.773626e+00
89            	6.671695e+00	2.269567e+00	-1.674401e-01	6.587975e+00	-6.755415e+00
90            	6.659026e+00	2.268960e+00	-1.530964e-01	6.582477e+00	-6.735574e+00
91            	6.644986e+00	2.268015e+00	-1.383706e-01	6.575801e+00	-6.714171e+00
92            	6.629795e+00	2.266762e+00	-1.233649e-01	6.568113e+00	-6.691477e+00
93            	6.614051e+00	2.265377e+00	-1.081808e-01	6.559960e+00	-6.668141e+00
94            	6.597963e+00	2.263920e+00	-9.282243e-02	6.551552e+00	-6.644375e+00
95            	6.581514e+00	2.262321e+00	-7.752349e-02	6.542752e+00	-6.620276e+00
96            	6.564652e+00	2.260531e+00	-6.237086e-02	6.533467e+00	-6.595837e+00
97            	6.547330e+00	2.258557e+00	-4.732429e-02	6.523668e+00	-6.570992e+00
98            	6.529096e+00	2.256250e+00	-3.237748e-02	6.512907e+00	-6.545285e+00
99            	6.510369e+00	2.253711e+00	-1.767363e-02	6.501532e+00	-6.519205e+00
100           	6.491686e+00	2.251074e+00	-3.364163e-03	6.490004e+00	-6.493368e+00
101           	6.473649e+00	2.248523e+00	1.046957e-02	6.478884e+00	-6.468414e+00
102           	6.456809e+00	2.246254e+00	2.385368e-02	6.468736e+00	-6.444882e+00
103           	6.441486e+00	2.244409e+00	3.693476e-02	6.459953e+00	-6.423019e+00
104           	6.426298e+00	2.242536e+00	4.963469e-02	6.451116e+00	-6.401481e+00
105           	6.412257e+00	2.240991e+00	6.207734e-02	6.443296e+00	-6.381219e+00
106           	6.399096e+00	2.239743e+00	7.447462e-02	6.436333e+00	-6.361858e+00
107           	6.385871e+00	2.238446e+00	8.672078e-02	6.429231e+00	-6.342511e+00
108           	6.372052e+00	2.236866e+00	9.864910e-02	6.421376e+00	-6.322727e+00
109           	6.358057e+00	2.235059e+00	1.099779e-01	6.413046e+00	-6.303068e+00
110           	6.343915e+00	2.232968e+00	1.204919e-01	6.404161e+00	-6.283669e+00
111           	6.329808e+00	2.230547e+00	1.297537e-01	6.394685e+00	-6.264931e+00
112           	6.313525e+00	2.227318e+00	1.387267e-01	6.382888e+00	-6.244162e+00
113           	6.293680e+00	2.223105e+00	1.484554e-01	6.367908e+00	-6.219453e+00
114           	6.272944e+00	2.218800e+00	1.588828e-01	6.352386e+00	-6.193503e+00
115           	6.252333e+00	2.214744e+00	1.700444e-01	6.337355e+00	-6.167310e+00
116           	6.232633e+00	2.211169e+00	1.818598e-01	6.323563e+00	-6.141703e+00
117           	6.214693e+00	2.208262e+00	1.940236e-01	6.311705e+00	-6.117681e+00
118           	6.199523e+00	2.206261e+00	2.061981e-01	6.302622e+00	-6.096424e+00
119           	6.187702e+00	2.205274e+00	2.180559e-01	6.296730e+00	-6.078674e+00
120           	6.179305e+00	2.205213e+00	2.291968e-01	6.293903e+00	-6.064707e+00
121           	6.173906e+00	2.205859e+00	2.393834e-01	6.293597e+00	-6.054214e+00
122           	6.171110e+00	2.207080e+00	2.485201e-01	6.295370e+00	-6.046850e+00
123           	6.170658e+00	2.208863e+00	2.568396e-01	6.299078e+00	-6.042238e+00
124           	6.171140e+00	2.210858e+00	2.646826e-01	6.303482e+00	-6.038799e+00
125           	6.171309e+00	2.212742e+00	2.723921e-01	6.307505e+00	-6.035112e+00
126           	6.169994e+00	2.214227e+00	2.803051e-01	6.310147e+00	-6.029842e+00
127           	6.166365e+00	2.215086e+00	2.885901e-01	6.310660e+00	-6.022070e+00
128           	6.160388e+00	2.215174e+00	2.967635e-01	6.308769e+00	-6.012006e+00
129           	6.151757e+00	2.214535e+00	3.054062e-01	6.304460e+00	-5.999054e+00
130           	6.141191e+00	2.213391e+00	3.144767e-01	6.298429e+00	-5.983952e+00
131           	6.129369e+00	2.211912e+00	3.238272e-01	6.291282e+00	-5.967455e+00
132           	6.116704e+00	2.210178e+00	3.332727e-01	6.283341e+00	-5.950068e+00
133           	6.103303e+00	2.208304e+00	3.431536e-01	6.274880e+00	-5.931726e+00
134           	6.089500e+00	2.206236e+00	3.528550e-01	6.265927e+00	-5.913072e+00
135           	6.075727e+00	2.204088e+00	3.622889e-01	6.256872e+00	-5.894583e+00
136           	6.062423e+00	2.201994e+00	3.714154e-01	6.248130e+00	-5.876715e+00
137           	6.049561e+00	2.199936e+00	3.801572e-01	6.239640e+00	-5.859483e+00
138           	6.038059e+00	2.198174e+00	3.883124e-01	6.232216e+00	-5.843903e+00
139           	6.028745e+00	2.196861e+00	3.954277e-01	6.226459e+00	-5.831031e+00
140           	6.021089e+00	2.195920e+00	4.018764e-01	6.222028e+00	-5.820151e+00
141           	6.014798e+00	2.195249e+00	4.076953e-01	6.218646e+00	-5.810950e+00
142           	6.009633e+00	2.194744e+00	4.127706e-01	6.216018e+00	-5.803248e+00
143           	6.004854e+00	2.194145e+00	4.171008e-01	6.213405e+00	-5.796304e+00
144           	5.999686e+00	2.193198e+00	4.206884e-01	6.210030e+00	-5.789342e+00
145           	5.993568e+00	2.191759e+00	4.237187e-01	6.205428e+00	-5.781709e+00
146           	5.987537e+00	2.190215e+00	4.262077e-01	6.200641e+00	-5.774433e+00
147           	5.978329e+00	2.187786e+00	4.294558e-01	6.193057e+00	-5.763601e+00
148           	5.971149e+00	2.185951e+00	4.322680e-01	6.187283e+00	-5.755015e+00
149           	5.960923e+00	2.183483e+00	4.365074e-01	6.179177e+00	-5.742670e+00
150           	5.951811e+00	2.181496e+00	4.410122e-01	6.172317e+00	-5.731304e+00
151           	5.941921e+00	2.179585e+00	4.466682e-01	6.165255e+00	-5.718587e+00
152           	5.932254e+00	2.177979e+00	4.530640e-01	6.158786e+00	-5.705722e+00
153           	5.923319e+00	2.176814e+00	4.601272e-01	6.153383e+00	-5.693256e+00
154           	5.915922e+00	2.176393e+00	4.679026e-01	6.149873e+00	-5.681971e+00
155           	5.910647e+00	2.176894e+00	4.763613e-01	6.148828e+00	-5.672466e+00
156           	5.907356e+00	2.178241e+00	4.853935e-01	6.150052e+00	-5.664659e+00
157           	5.905635e+00	2.180216e+00	4.947288e-01	6.152999e+00	-5.658271e+00
158           	5.904736e+00	2.182327e+00	5.035451e-01	6.156509e+00	-5.652963e+00
159           	5.903628e+00	2.184297e+00	5.121367e-01	6.159697e+00	-5.647560e+00
160           	5.901493e+00	2.185761e+00	5.201753e-01	6.161581e+00	-5.641406e+00
161           	5.898068e+00	2.186477e+00	5.271634e-01	6.161650e+00	-5.634487e+00
162           	5.893677e+00	2.186435e+00	5.326934e-01	6.160023e+00	-5.627330e+00
163           	5.888842e+00	2.185713e+00	5.363934e-01	6.157038e+00	-5.620645e+00
164           	5.884235e+00	2.184841e+00	5.393863e-01	6.153928e+00	-5.614542e+00
165           	5.880338e+00	2.183931e+00	5.414665e-01	6.151072e+00	-5.609605e+00
166           	5.877371e+00	2.183203e+00	5.430962e-01	6.148919e+00	-5.605823e+00
167           	5.875495e+00	2.182890e+00	5.449883e-01	6.147990e+00	-5.603001e+00
168           	5.873776e+00	2.182612e+00	5.467863e-01	6.147169e+00	-5.600382e+00
169           	5.873433e+00	2.182840e+00	5.487496e-01	6.147808e+00	-5.599059e+00
170           	5.874335e+00	2.183471e+00	5.506293e-01	6.149650e+00	-5.599020e+00
171           	5.877219e+00	2.184742e+00	5.524590e-01	6.153449e+00	-5.600990e+00
172           	5.881513e+00	2.186447e+00	5.541827e-01	6.158604e+00	-5.604421e+00
173           	5.886311e+00	2.188314e+00	5.559045e-01	6.164263e+00	-5.608359e+00
174           	5.890974e+00	2.190118e+00	5.575764e-01	6.169762e+00	-5.612185e+00
175           	5.895231e+00	2.191760e+00	5.591508e-01	6.174807e+00	-5.615656e+00
176           	5.898844e+00	2.193131e+00	5.605617e-01	6.179125e+00	-5.618563e+00
177           	5.901517e+00	2.194173e+00	5.619391e-01	6.182487e+00	-5.620548e+00
178           	5.902595e+00	2.194719e+00	5.634651e-01	6.184328e+00	-5.620862e+00
179           	5.901652e+00	2.194651e+00	5.652370e-01	6.184271e+00	-5.619034e+00
180           	5.898476e+00	2.193895e+00	5.672700e-01	6.182111e+00	-5.614841e+00
181           	5.893236e+00	2.192460e+00	5.694072e-01	6.177940e+00	-5.608533e+00
182           	5.886816e+00	2.190556e+00	5.713770e-01	6.172504e+00	-5.601127e+00
183           	5.881033e+00	2.188737e+00	5.728999e-01	6.167483e+00	-5.594583e+00
184           	5.874994e+00	2.186757e+00	5.742945e-01	6.162141e+00	-5.587847e+00
185           	5.870476e+00	2.185183e+00	5.753930e-01	6.158172e+00	-5.582779e+00
186           	5.867946e+00	2.184256e+00	5.764538e-01	6.156173e+00	-5.579719e+00
187           	5.867275e+00	2.184050e+00	5.778228e-01	6.156186e+00	-5.578363e+00
188           	5.868158e+00	2.184562e+00	5.798044e-01	6.158060e+00	-5.578256e+00
189           	5.870295e+00	2.185816e+00	5.828454e-01	6.161718e+00	-5.578872e+00
190           	5.872576e+00	2.187285e+00	5.862780e-01	6.165715e+00	-5.579437e+00
191           	5.874219e+00	2.188709e+00	5.901934e-01	6.169316e+00	-5.579123e+00
192           	5.874747e+00	2.189829e+00	5.942565e-01	6.171875e+00	-5.577618e+00
193           	5.874149e+00	2.190537e+00	5.981189e-01	6.173209e+00	-5.575090e+00
194           	5.872883e+00	2.190899e+00	6.014838e-01	6.173624e+00	-5.572141e+00
195           	5.871642e+00	2.191105e+00	6.041944e-01	6.173739e+00	-5.569545e+00
196           	5.870855e+00	2.191337e+00	6.064521e-01	6.174081e+00	-5.567629e+00
197           	5.870882e+00	2.191773e+00	6.083942e-01	6.175079e+00	-5.566685e+00
198           	5.871786e+00	2.192459e+00	6.101182e-01	6.176845e+00	-5.566727e+00
199           	5.873774e+00	2.193509e+00	6.117924e-01	6.179671e+00	-5.567878e+00
200           	5.876614e+00	2.194885e+00	6.135720e-01	6.183400e+00	-5.569828e+00
201           	5.879581e+00	2.196385e+00	6.155847e-01	6.187373e+00	-5.571789e+00
202           	5.881700e+00	2.197689e+00	6.178466e-01	6.190623e+00	-5.572776e+00
203           	5.881298e+00	2.198133e+00	6.200123e-01	6.191305e+00	-5.571292e+00
204           	5.879413e+00	2.198049e+00	6.221092e-01	6.190467e+00	-5.568358e+00
205           	5.876623e+00	2.197611e+00	6.240803e-01	6.188663e+00	-5.564582e+00
206           	5.873072e+00	2.196880e+00	6.259599e-01	6.186052e+00	-5.560092e+00
207           	5.868663e+00	2.195851e+00	6.278113e-01	6.182568e+00	-5.554757e+00
208           	5.863369e+00	2.194506e+00	6.295879e-01	6.178162e+00	-5.548575e+00
209           	5.857412e+00	2.192854e+00	6.310563e-01	6.172940e+00	-5.541884e+00
210           	5.851013e+00	2.190878e+00	6.318891e-01	6.166958e+00	-5.535069e+00
211           	5.845147e+00	2.188767e+00	6.316266e-01	6.160960e+00	-5.529334e+00
212           	5.840194e+00	2.186512e+00	6.297771e-01	6.155083e+00	-5.525306e+00
213           	5.838236e+00	2.184702e+00	6.260119e-01	6.151242e+00	-5.525230e+00
214           	5.840732e+00	2.183868e+00	6.205474e-01	6.151005e+00	-5.530458e+00
215           	5.847994e+00	2.184440e+00	6.145425e-01	6.155265e+00	-5.540723e+00
216           	5.856867e+00	2.185948e+00	6.099414e-01	6.161838e+00	-5.551897e+00
217           	5.864991e+00	2.188073e+00	6.083551e-01	6.169169e+00	-5.560814e+00
218           	5.871882e+00	2.190804e+00	6.103116e-01	6.177037e+00	-5.566726e+00
219           	5.875701e+00	2.193364e+00	6.153127e-01	6.183358e+00	-5.568045e+00
220           	5.872751e+00	2.194373e+00	6.228731e-01	6.184188e+00	-5.561315e+00
221           	5.863881e+00	2.193664e+00	6.314658e-01	6.179614e+00	-5.548148e+00
222           	5.846461e+00	2.190056e+00	6.399778e-01	6.166450e+00	-5.526472e+00
223           	5.823238e+00	2.184019e+00	6.466524e-01	6.146564e+00	-5.499912e+00
224           	5.798447e+00	2.176727e+00	6.504963e-01	6.123696e+00	-5.473199e+00
225           	5.776847e+00	2.169576e+00	6.507417e-01	6.102218e+00	-5.451476e+00
226           	5.761228e+00	2.163731e+00	6.483096e-01	6.085383e+00	-5.437073e+00
227           	5.755207e+00	2.160223e+00	6.427356e-01	6.076575e+00	-5.433839e+00
228           	5.759361e+00	2.159051e+00	6.333466e-01	6.076034e+00	-5.442688e+00
229           	5.768343e+00	2.159331e+00	6.233299e-01	6.080008e+00	-5.456679e+00
230           	5.780032e+00	2.160579e+00	6.135463e-01	6.086805e+00	-5.473259e+00
231           	5.793622e+00	2.162764e+00	6.048899e-01	6.096067e+00	-5.491177e+00
232           	5.804446e+00	2.164681e+00	5.985977e-01	6.103745e+00	-5.505147e+00
233           	5.812603e+00	2.166329e+00	5.945708e-01	6.109888e+00	-5.515317e+00
234           	5.818625e+00	2.167710e+00	5.922584e-01	6.114754e+00	-5.522495e+00
235           	5.823647e+00	2.168929e+00	5.907358e-01	6.119015e+00	-5.528279e+00
236           	5.828764e+00	2.170324e+00	5.898860e-01	6.123707e+00	-5.533821e+00
237           	5.835230e+00	2.172472e+00	5.901927e-01	6.130326e+00	-5.540133e+00
238           	5.843009e+00	2.175588e+00	5.923552e-01	6.139186e+00	-5.546831e+00
239           	5.849855e+00	2.179089e+00	5.969135e-01	6.148312e+00	-5.551398e+00
240           	5.853463e+00	2.182136e+00	6.036027e-01	6.155264e+00	-5.551661e+00
241           	5.852572e+00	2.184053e+00	6.115793e-01	6.158362e+00	-5.546783e+00
